YOM,Engine (cc),Gear,Millage(KM),Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price,Year_Listed,Month_Listed,Car_Age,Mileage_per_year,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_Petrol,Brand_Freq,Model_Freq,Brand_AvgPrice,Model_AvgPrice,BrandModel_AvgPrice,BrandModelYear_AvgPrice,Luxury_Brand
2016,990.0,1,99000.0,0,0,1,1,1,1,10000000.0,2025,2,9,11000.0,0.0,0.0,0.0,1.0,27,7,8272685.185185186,9962500.0,9962500.0,10000000.0,1
2017,1000.0,1,88000.0,0,0,1,1,1,1,9700000.0,2025,1,8,11000.0,0.0,0.0,0.0,1.0,27,7,8272685.185185186,9962500.0,9962500.0,10187500.0,1
2018,1000.0,1,77000.0,0,0,1,1,1,1,9850000.0,2025,1,7,11000.0,0.0,0.0,0.0,1.0,27,7,8272685.185185186,9962500.0,9962500.0,9493750.0,1
2017,1000.0,1,88000.0,0,0,1,1,1,1,10700000.0,2024,12,8,11000.0,0.0,0.0,0.0,1.0,27,7,8272685.185185186,9962500.0,9962500.0,10187500.0,1
2017,1000.0,1,88000.0,0,0,1,1,1,1,9950000.0,2024,12,8,11000.0,0.0,0.0,0.0,1.0,27,7,8272685.185185186,9962500.0,9962500.0,10187500.0,1
2018,1500.0,1,77000.0,0,0,1,1,1,1,9137500.0,2024,12,7,11000.0,0.0,0.0,0.0,1.0,27,7,8272685.185185186,9962500.0,9962500.0,9493750.0,1
2017,1000.0,1,88000.0,0,0,1,1,1,1,10400000.0,2024,12,8,11000.0,0.0,0.0,0.0,1.0,27,7,8272685.185185186,9962500.0,9962500.0,10187500.0,1
2016,1000.0,1,99000.0,0,0,1,1,1,1,10500000.0,2025,1,9,11000.0,0.0,0.0,0.0,1.0,27,1,8272685.185185186,10500000.0,10500000.0,10500000.0,1
2017,1000.0,1,88000.0,0,0,1,1,0,1,12500000.0,2025,2,8,11000.0,0.0,0.0,0.0,1.0,27,1,8272685.185185186,12500000.0,12500000.0,12500000.0,1
2001,1900.0,0,264000.0,0,0,1,1,1,1,3879999.9999999995,2025,2,24,11000.0,1.0,0.0,0.0,0.0,27,8,8272685.185185186,8642500.0,8642500.0,3879999.9999999995,1
