Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
0.0,AUDI,A1,2016.0,990.0,Automatic,Petrol,99000.0,Gampaha,2025-02-05,No Leasing,USED,Available,Available,Available,Available,100.0
1.0,AUDI,A1,2017.0,1000.0,Automatic,Petrol,88000.0,Colombo,2025-01-14,No Leasing,USED,Available,Available,Available,Available,97.0
2.0,AUDI,A1,2018.0,1000.0,Automatic,Petrol,77000.0,Dehiwala-Mount-Lavinia,2025-01-23,No Leasing,USED,Available,Available,Available,Available,98.5
3.0,AUDI,A1,2017.0,1000.0,Automatic,Petrol,88000.0,Negombo,2024-12-21,No Leasing,USED,Available,Available,Available,Available,107.0
4.0,AUDI,A1,2017.0,1000.0,Automatic,Petrol,88000.0,Colombo,2024-12-21,No Leasing,USED,Available,Available,Available,Available,99.5
5.0,AUDI,A1,2018.0,1500.0,Automatic,Petrol,77000.0,Colombo,2024-12-16,No Leasing,USED,Available,Available,Available,Available,91.375
6.0,AUDI,A1,2017.0,1000.0,Automatic,Petrol,88000.0,Matara,2024-12-11,No Leasing,USED,Available,Available,Available,Available,104.0
7.0,AUDI,A1 RS,2016.0,1000.0,Automatic,Petrol,99000.0,Colombo,2025-01-19,No Leasing,USED,Available,Available,Available,Available,105.0
8.0,AUDI,A3,2018.0,1000.0,Automatic,Petrol,77000.0,Nugegoda,2025-02-05,No Leasing,USED,Available,Available,Available,Available,139.0
9.0,AUDI,A3,2018.0,1750.0,Automatic,Petrol,77000.0,Gampaha,2025-01-31,No Leasing,USED,Available,Available,Available,Available,139.0
10.0,AUDI,A3,2018.0,1000.0,Automatic,Petrol,77000.0,Anuradapura,2025-01-23,No Leasing,USED,Available,Available,Available,Available,139.0
11.0,AUDI,A3,2018.0,1000.0,Automatic,Petrol,77000.0,Kandy,2025-01-20,No Leasing,USED,Available,Available,Available,Available,139.0
12.0,AUDI,A3 S LINE,2018.0,1000.0,Automatic,Petrol,77000.0,Colombo,2025-01-19,No Leasing,USED,Available,Available,Available,Available,178.0
13.0,AUDI,A3 S LINE,2018.0,1000.0,Automatic,Petrol,77000.0,Colombo,2024-12-13,No Leasing,USED,Available,Available,Available,Available,178.0
14.0,AUDI,A3 S-LINE,2018.0,999.0,Automatic,Petrol,77000.0,Ambalangoda,2024-12-24,No Leasing,USED,Available,Available,Available,Available,145.0
15.0,AUDI,A3 SPORTBACK,2017.0,1000.0,Automatic,Petrol,88000.0,Battaramulla,2025-02-01,No Leasing,USED,Available,Available,Not_Available,Available,125.0
16.0,AUDI,A3 SPORTBACK,2017.0,1000.0,Automatic,Petrol,88000.0,Colombo,2025-01-31,No Leasing,USED,Available,Available,Available,Available,142.5
17.0,AUDI,A3 SPORTBACK,2017.0,1000.0,Automatic,Petrol,88000.0,Battaramulla,2025-01-03,No Leasing,USED,Available,Available,Available,Available,165.0
18.0,AUDI,A3 TFSI,2018.0,1000.0,Automatic,Petrol,77000.0,Colombo,2025-01-16,No Leasing,USED,Available,Available,Available,Available,149.5
19.0,AUDI,A3 TFSI,2015.0,1899.0,Automatic,Petrol,110000.0,Nittambuwa,2024-12-10,No Leasing,USED,Available,Available,Available,Available,159.0
20.0,AUDI,A3 TFSI,2015.0,1500.0,Automatic,Petrol,110000.0,Nittambuwa,2024-12-09,No Leasing,USED,Available,Available,Available,Available,159.0
21.0,AUDI,A4,2001.0,1900.0,Manual,Diesel,264000.0,Piliyandala,2025-02-04,No Leasing,USED,Available,Available,Available,Available,38.8
22.0,AUDI,A4,2010.0,1800.0,Automatic,Petrol,165000.0,Kotte,2025-02-03,No Leasing,USED,Available,Available,Available,Available,118.0
23.0,AUDI,A4,2019.0,1400.0,Automatic,Petrol,66000.0,Battaramulla,2025-01-29,No Leasing,USED,Available,Available,Available,Available,225.0
24.0,AUDI,A4,2011.0,2000.0,Automatic,Petrol,154000.0,Colombo,2025-01-18,Ongoing Lease,USED,Available,Available,Available,Available,125.0
25.0,AUDI,A4,2012.0,2000.0,Automatic,Diesel,143000.0,Kandana,2025-01-15,No Leasing,USED,Available,Available,Available,Available,169.0
26.0,AUDI,A4,1999.0,1900.0,Manual,Diesel,286000.0,Anuradapura,2025-01-09,No Leasing,USED,Available,Available,Available,Available,31.5
27.0,AUDI,A4,2003.0,1800.0,Automatic,Petrol,242000.0,Moratuwa,2025-01-06,No Leasing,USED,Available,Available,Available,Available,53.6
28.0,AUDI,A4,2011.0,2000.0,Automatic,Diesel,154000.0,Colombo,2025-01-27,No Leasing,USED,Available,Available,Not_Available,Available,108.0
29.0,AUDI,A4,2012.0,1800.0,Automatic,Petrol,143000.0,Wattala,2025-01-21,No Leasing,USED,Available,Available,Available,Available,139.0
30.0,AUDI,A4,2016.0,2000.0,Automatic,Petrol,99000.0,Kiribathgoda,2025-01-21,No Leasing,USED,Available,Available,Available,Available,210.0
31.0,AUDI,A4,2011.0,2000.0,Automatic,Diesel,154000.0,Kegalle,2024-12-28,No Leasing,USED,Available,Available,Available,Available,116.5
32.0,AUDI,A4,2010.0,1800.0,Automatic,Petrol,165000.0,Gampaha,2024-12-26,No Leasing,USED,Available,Available,Available,Available,100.0
33.0,AUDI,A4,2012.0,1800.0,Automatic,Petrol,143000.0,Colombo,2024-12-22,No Leasing,USED,Available,Available,Available,Not_Available,145.0
34.0,AUDI,A4,2012.0,1800.0,Automatic,Petrol,143000.0,Homagama,2024-12-15,No Leasing,USED,Available,Available,Available,Available,155.0
35.0,AUDI,A4 1.9 TDI,2001.0,1900.0,Manual,Diesel,264000.0,Kotte,2025-01-16,No Leasing,USED,Available,Available,Available,Available,5.0
36.0,AUDI,A4 B8,2011.0,1800.0,Automatic,Petrol,154000.0,Weligama,2025-01-25,No Leasing,USED,Available,Available,Available,Available,112.0
37.0,AUDI,A4 RS4 CONVERSION,2012.0,1800.0,Automatic,Petrol,143000.0,Kegalle,2024-12-10,No Leasing,USED,Available,Available,Available,Available,140.0
